model,best_hyperparameter,ticker,Confusion_Matrix,fpr,tpr,AUC,F1,Accuracy,Precision,Recall,KS_Stat,KS_pvalue
Logistic_reg,,AAPL,"[[692 157]
 [129 817]]",[0.         0.18492344 1.        ],[0.         0.86363636 1.        ],0.8393564621479817,0.8510416666666666,84.06685236768803,83.88090349075975,86.36363636363636,0.015598885793871866,0.9811722571677047
Logistic_reg,,ADI,"[[745 132]
 [110 808]]",[0.         0.15051311 1.        ],[0.         0.88017429 1.        ],0.8648305895270815,0.8697524219590957,86.51810584958217,85.95744680851064,88.01742919389977,0.012256267409470752,0.9992810088858929
Logistic_reg,,CNP,"[[723 142]
 [135 795]]",[0.         0.16416185 1.        ],[0.         0.85483871 1.        ],0.8453384299832184,0.8516336368505624,84.56824512534818,84.8452508004269,85.48387096774194,0.0038997214484679664,1.0
Logistic_reg,,DLTR,"[[756 111]
 [128 800]]",[0.         0.12802768 1.        ],[0.         0.86206897 1.        ],0.867020641928171,0.8700380641653072,86.68523676880223,87.81558726673985,86.20689655172413,0.00947075208913649,0.9999980898251795
Logistic_reg,,FLS,"[[733 132]
 [111 819]]",[0.         0.15260116 1.        ],[0.         0.88064516 1.        ],0.8640220026104791,0.8708133971291866,86.46239554317549,86.1198738170347,88.06451612903226,0.0116991643454039,0.9996918702259957
Logistic_reg,,HAS,"[[728 125]
 [144 798]]",[0.         0.14654162 1.        ],[0.         0.84713376 1.        ],0.8502960700711614,0.8557640750670241,85.01392757660167,86.45720476706393,84.71337579617835,0.010584958217270195,0.9999633880140478
Logistic_reg,,PBCT,"[[709 136]
 [112 838]]",[0.         0.16094675 1.        ],[0.         0.88210526 1.        ],0.8605792587978822,0.8711018711018711,86.18384401114206,86.0369609856263,88.21052631578948,0.013370473537604457,0.9971510304534396
Logistic_reg,,RHI,"[[761 132]
 [114 788]]",[0.         0.14781635 1.        ],[0.         0.87361419 1.        ],0.8628989206516314,0.8649835345773875,86.29526462395543,85.65217391304348,87.36141906873614,0.010027855153203343,0.9999905121829983
Logistic_reg,,TGT,"[[758 122]
 [136 779]]",[0.         0.13863636 1.        ],[0.         0.85136612 1.        ],0.8563648782911077,0.8579295154185022,85.6267409470752,86.45948945615982,85.13661202185793,0.007799442896935933,0.9999999984289607
Logistic_reg,,WBA,"[[775 126]
 [125 769]]",[0.         0.13984462 1.        ],[0.         0.86017897 1.        ],0.8601671769125531,0.859698155394075,86.016713091922,85.92178770949721,86.01789709172259,0.0005571030640668524,0.9999999999999994
KNN,11,AAPL,"[[665 184]
 [170 776]]",[0.         0.21672556 1.        ],[0.         0.82029598 1.        ],0.8017852118024688,0.8142707240293809,80.27855153203343,80.83333333333333,82.02959830866807,0.007799442896935933,0.9999999984289607
KNN,7,ADI,"[[707 170]
 [151 767]]",[0.         0.19384265 1.        ],[0.         0.83551198 1.        ],0.820834668594411,0.8269541778975741,82.11699164345404,81.85699039487727,83.5511982570806,0.010584958217270195,0.9999633880140478
KNN,9,CNP,"[[683 182]
 [176 754]]",[0.         0.21040462 1.        ],[0.         0.81075269 1.        ],0.8001740319472932,0.8081457663451233,80.05571030640668,80.55555555555556,81.0752688172043,0.003342618384401114,1.0
KNN,7,DLTR,"[[722 145]
 [167 761]]",[0.         0.16724337 1.        ],[0.        0.8200431 1.       ],0.8263998677564331,0.8298800436205017,82.61838440111421,83.99558498896246,82.00431034482759,0.012256267409470752,0.9992810088858929
KNN,11,FLS,"[[696 169]
 [167 763]]",[0.         0.19537572 1.        ],[0.         0.82043011 1.        ],0.8125271924917645,0.8195488721804512,81.28133704735376,81.86695278969958,82.04301075268818,0.0011142061281337048,1.0
KNN,9,HAS,"[[718 135]
 [183 759]]",[0.         0.15826495 1.        ],[0.         0.80573248 1.        ],0.8237337684157077,0.8267973856209151,82.2841225626741,84.8993288590604,80.57324840764332,0.026740947075208913,0.5424570895480368
KNN,9,PBCT,"[[695 150]
 [168 782]]",[0.         0.17751479 1.        ],[0.         0.82315789 1.        ],0.8228215509187169,0.8310308182784272,82.2841225626741,83.90557939914163,82.3157894736842,0.010027855153203343,0.9999905121829983
KNN,17,RHI,"[[693 200]
 [150 752]]",[0.         0.22396417 1.        ],[0.         0.83370288 1.        ],0.8048693583749439,0.8112189859762675,80.50139275766016,78.99159663865547,83.37028824833703,0.027855153203342618,0.48928618388412504
KNN,19,TGT,"[[717 163]
 [172 743]]",[0.         0.18522727 1.        ],[0.         0.81202186 1.        ],0.8133972925981122,0.816035145524437,81.33704735376045,82.00883002207505,81.20218579234972,0.005013927576601671,1.0
KNN,21,WBA,"[[739 162]
 [164 730]]",[0.         0.17980022 1.        ],[0.         0.81655481 1.        ],0.8183772939339089,0.8174692049272116,81.83844011142062,81.83856502242153,81.65548098434004,0.0011142061281337048,1.0
